,gene_id,expected_count
591,TRINITY_DN10482_c0_g1_i1,196005.0
7638,TRINITY_DN16723_c0_g1_i1,30856.0
9198,TRINITY_DN17_c0_g1_i2,11042.0
10714,TRINITY_DN192_c0_g1_i1,8252.0
9084,TRINITY_DN178_c0_g1_i1,8237.0
6471,TRINITY_DN15784_c0_g1_i1,7763.0
713,TRINITY_DN105_c0_g1_i1,7017.0
5566,TRINITY_DN14_c0_g1_i1,3844.0
6612,TRINITY_DN158_c0_g1_i1,3593.0
73,TRINITY_DN10051_c0_g1_i1,2603.0
6462,TRINITY_DN15778_c0_g1_i1,2499.0
6910,TRINITY_DN16130_c0_g1_i1,2397.0
128,TRINITY_DN100_c0_g1_i1,2308.0
319,TRINITY_DN10257_c0_g1_i1,2305.0
5798,TRINITY_DN15232_c0_g1_i1,2269.0
7610,TRINITY_DN166_c0_g1_i1,2249.0
131,TRINITY_DN10102_c0_g1_i1,2155.0
4108,TRINITY_DN135_c0_g1_i1,1926.0
6377,TRINITY_DN15706_c0_g1_i1,1847.0
1817,TRINITY_DN11533_c0_g1_i1,1782.0
200,TRINITY_DN1014_c0_g1_i1,1770.0
1310,TRINITY_DN110_c0_g1_i1,1706.0
653,TRINITY_DN10545_c0_g1_i1,1660.0
6728,TRINITY_DN15994_c0_g1_i1,1641.0
2578,TRINITY_DN12205_c0_g1_i1,1612.0
342,TRINITY_DN10279_c0_g1_i1,1553.0
1852,TRINITY_DN11566_c0_g1_i1,1518.0
2452,TRINITY_DN12091_c0_g1_i1,1517.0
100,TRINITY_DN10077_c0_g1_i1,1508.0
579,TRINITY_DN10471_c0_g1_i1,1463.0
6349,TRINITY_DN15687_c0_g1_i1,1390.0
3594,TRINITY_DN13098_c0_g1_i1,1338.0
11510,TRINITY_DN19_c0_g1_i1,1271.0
726,TRINITY_DN10610_c0_g1_i1,1265.0
500,TRINITY_DN103_c0_g1_i1,1232.0
1576,TRINITY_DN11338_c0_g1_i1,1210.0
3840,TRINITY_DN13338_c0_g1_i1,1199.0
6697,TRINITY_DN15972_c0_g1_i1,1180.0
1424,TRINITY_DN11204_c0_g1_i1,1174.0
3718,TRINITY_DN13216_c0_g1_i1,1086.0
1898,TRINITY_DN115_c0_g1_i1,1030.0
2246,TRINITY_DN11905_c0_g1_i1,1022.0
1445,TRINITY_DN11220_c0_g1_i1,1011.0
1419,TRINITY_DN111_c0_g1_i1,995.0
6698,TRINITY_DN15973_c0_g1_i1,989.0
821,TRINITY_DN106_c0_g1_i1,967.0
1892,TRINITY_DN11598_c0_g1_i1,941.0
9534,TRINITY_DN182_c0_g1_i1,931.0
830,TRINITY_DN10706_c0_g1_i1,920.0
696,TRINITY_DN10585_c0_g1_i1,901.0
6499,TRINITY_DN15809_c0_g1_i1,865.0
522,TRINITY_DN10418_c0_g1_i1,852.0
2420,TRINITY_DN12063_c0_g1_i1,845.0
6043,TRINITY_DN15438_c0_g1_i1,839.0
1129,TRINITY_DN10960_c0_g1_i1,824.0
4681,TRINITY_DN140_c0_g1_i1,816.0
6498,TRINITY_DN15808_c0_g1_i1,811.0
2910,TRINITY_DN124_c0_g1_i1,798.0
1659,TRINITY_DN11398_c0_g1_i1,777.0
3478,TRINITY_DN12995_c0_g1_i1,773.0
3890,TRINITY_DN13387_c0_g1_i1,748.0
61,TRINITY_DN10040_c0_g1_i1,726.0
2827,TRINITY_DN12416_c0_g1_i1,719.0
6834,TRINITY_DN16069_c0_g1_i1,709.0
6617,TRINITY_DN15903_c0_g1_i1,702.0
