,gene_id,count_light,count_nonlight,count_diff
630,TRINITY_DN10482_c0_g1_i1,392008.0,6.0,392002.0
8165,TRINITY_DN18_c0_g4_i1,365808.0,0.0,365808.0
10974,TRINITY_DN362_c0_g1_i1,125554.0,2.0,125552.0
13506,TRINITY_DN53_c0_g1_i1,95128.0,640.0,94488.0
8162,TRINITY_DN18_c0_g2_i7,64976.0,0.0,64976.0
18223,TRINITY_DN8_c0_g2_i1,30302.0,40.0,30262.0
9810,TRINITY_DN2848_c0_g1_i1,27170.0,18.0,27152.0
10955,TRINITY_DN3615_c0_g1_i1,22518.0,0.0,22518.0
7978,TRINITY_DN17_c0_g1_i2,21968.0,0.0,21968.0
7981,TRINITY_DN17_c0_g2_i1,21524.0,0.0,21524.0
11336,TRINITY_DN3880_c0_g1_i1,18908.0,26.0,18882.0
13520,TRINITY_DN5412_c0_g1_i1,18366.0,8.0,18358.0
16377,TRINITY_DN75_c0_g1_i1,18098.0,50.0,18048.0
11651,TRINITY_DN40_c0_g1_i1,16162.0,0.0,16162.0
15585,TRINITY_DN6_c0_g1_i1,17008.0,2384.0,14624.0
11132,TRINITY_DN3741_c0_g1_i1,13660.0,108.0,13552.0
771,TRINITY_DN105_c0_g1_i1,13198.0,52.0,13146.0
11521,TRINITY_DN3_c0_g1_i1,12692.0,20.0,12672.0
4716,TRINITY_DN13_c0_g1_i1,14536.0,2104.0,12432.0
9850,TRINITY_DN2873_c0_g1_i1,12200.0,16.0,12184.0
12675,TRINITY_DN4843_c0_g1_i1,11842.0,12.0,11830.0
14394,TRINITY_DN60_c0_g1_i1,13594.0,1836.0,11758.0
18703,TRINITY_DN93_c0_g1_i1,9492.0,0.0,9492.0
17967,TRINITY_DN87_c0_g1_i1,9108.0,60.0,9048.0
8158,TRINITY_DN18_c0_g1_i3,8072.0,0.0,8072.0
16902,TRINITY_DN79_c0_g1_i1,8310.0,406.0,7904.0
10296,TRINITY_DN3155_c0_g1_i1,8368.0,1174.0,7194.0
11636,TRINITY_DN408_c0_g1_i1,5928.0,12.0,5916.0
11803,TRINITY_DN4216_c0_g1_i1,5702.0,0.0,5702.0
645,TRINITY_DN10495_c0_g1_i1,5698.0,6.0,5692.0
11141,TRINITY_DN374_c0_g1_i1,5602.0,0.0,5602.0
9102,TRINITY_DN23_c0_g1_i2,5314.0,0.0,5314.0
79,TRINITY_DN10051_c0_g1_i1,5194.0,16.0,5178.0
10562,TRINITY_DN3342_c0_g1_i1,5176.0,10.0,5166.0
19173,TRINITY_DN97_c0_g1_i1,5584.0,534.0,5050.0
12030,TRINITY_DN437_c0_g1_i1,5068.0,84.0,4984.0
12973,TRINITY_DN5023_c0_g1_i1,4964.0,34.0,4930.0
344,TRINITY_DN10257_c0_g1_i1,4600.0,12.0,4588.0
149,TRINITY_DN10102_c0_g1_i1,4302.0,26.0,4276.0
7511,TRINITY_DN166_c0_g1_i1,4436.0,232.0,4204.0
9590,TRINITY_DN26_c0_g1_i1,5226.0,1164.0,4062.0
10065,TRINITY_DN2_c0_g1_i1,4060.0,0.0,4060.0
17031,TRINITY_DN80_c0_g1_i1,4006.0,0.0,4006.0
11248,TRINITY_DN381_c0_g1_i1,3980.0,2.0,3978.0
14907,TRINITY_DN64_c0_g1_i1,3914.0,132.0,3782.0
1925,TRINITY_DN11533_c0_g1_i1,3558.0,4.0,3554.0
11369,TRINITY_DN3902_c0_g1_i1,3528.0,16.0,3512.0
13893,TRINITY_DN56_c0_g1_i1,3386.0,0.0,3386.0
14744,TRINITY_DN6376_c0_g1_i1,3358.0,6.0,3352.0
13598,TRINITY_DN5478_c0_g1_i1,3252.0,4.0,3248.0
2690,TRINITY_DN12205_c0_g1_i1,3214.0,0.0,3214.0
9570,TRINITY_DN268_c0_g1_i3,3052.0,0.0,3052.0
9915,TRINITY_DN2918_c0_g1_i1,3036.0,0.0,3036.0
2561,TRINITY_DN12091_c0_g1_i1,3016.0,0.0,3016.0
19317,TRINITY_DN9927_c0_g1_i1,3030.0,16.0,3014.0
111,TRINITY_DN10077_c0_g1_i1,3012.0,4.0,3008.0
1962,TRINITY_DN11566_c0_g1_i1,2970.0,0.0,2970.0
11431,TRINITY_DN3949_c0_g1_i1,2952.0,20.0,2932.0
11988,TRINITY_DN4345_c0_g1_i1,2916.0,6.0,2910.0
