UniqueCount	AmbigCount
52	4
140	4
20	1
37	0
7	10
5	10
3	0
29	337
2	337
17	0
12	0
61	0
10	0
4	1
86	0
3	0
5	0
4	0
8	0
45	0
1	12
26	12
21	0
11	4
3	2
7	0
3	0
13	0
2	0
5	0
23	0
51	0
36	0
4	60
6	60
12	2
12	0
12	0
7	34
13	34
6	0
45	0
11	63
3	36
8	27
111	0
29	0
7	3
1	3
66	0
2	29
4	29
7	0
13	0
0	47
4	82
6	48
1	37
18	1
46	0
60	0
38	22
17	22
3	3
1	3
4	0
3	9
6	9
3	48
3	48
85	0
51	2
14	3
22	0
9	0
12	0
7	0
10	23
4	52
4	31
4	71
8	73
8	40
95	1
110	0
10	10
9	11
3	0
6	15
2	8
7	0
2	19
1456	1
7	2
8	2
879	0
9	0
4	16
3	16
0	271
2	252
5	240
4	239
4	5
4	44
4	44
218	11
53	11
21	0
18	0
23	0
32	1
112	0
177	29
2	28
4	12
29	0
4	1
46	0
7	0
33	0
10	0
3	4
3	4
256	1
7	0
7	10
2	10
8	0
1	48
7	49
6	31
5	31
18	0
7	1
14	0
172	1
8	1
3	1
4	0
2	0
150	0
7	2
12	2
144	11
14	11
5	0
4	7
39	7
1	9
30	9
2	2
38	12
7	12
18	2
4	0
7	0
4	0
0	18
2	13
7	8
4	1
12	0
26	0
3	0
5	1
24	0
4	1
4	0
3	0
20	0
4	0
3	1
3	0
6	1
4	0
3	0
5	0
6	0
4	0
7	0
3	1
4	0
7	0
4	0
5	0
4	0
6	0
4	0
7	0
3	0
2	0
3	0
13	0
4	0
11	0
3	0
2	1
4	0
4	1
3	0
6	0
8	0
5	0
17	0
4	0
4	0
3	0
9	0
3	0
4	0
4	1
7	0
11	0
3	0
18	0
4	0
6	0
4	0
4	2
5	0
9	0
5	0
7	0
13	2
5	0
5	0
5	0
4	0
8	0
18	0
15	0
7	0
4	0
4	0
3	0
5	0
7	0
4	0
18	1
9	0
4	1
2	1
5	0
3	0
11	0
7	0
5	0
3	0
5	0
53	0
3	0
24	0
4	0
6	0
99	1
4	0
42	2
4	0
11	1
58	0
28	0
4	0
9	0
5	0
4	0
3	0
4	0
5	0
9	0
6	0
3	1
12	1
22	0
39	0
11	0
5	0
4	0
19	1
7	0
140	0
5	0
10	0
8	0
6	0
8	0
5	0
9	0
3	0
16	0
4	0
17	0
3	0
46	0
20	0
8	0
14	1
10	0
9	1
50	0
14	0
6	0
59	0
3	0
4	0
21	0
12	0
114	0
32	0
7	0
105	0
7	0
7	0
23	0
22	0
6	0
18	187
3	187
4	0
54	0
6	0
2	0
4	0
4	0
4	0
5	0
67	0
5	0
3	0
32	1
7	1
6	0
5	0
7	0
3	0
12	0
13	0
4	0
4	0
21	0
19	0
27	2
110	1
6	1
144	0
8	0
28	1
7	0
9	0
14	0
9	0
4	0
12	0
4	0
9	0
39	0
9	0
3	0
3	0
17	0
5	1
6	0
16	0
4	0
7	0
6	0
19	0
3	0
4	0
4	0
4	0
6	0
4	0
3	0
5	0
11	0
5	0
3	0
14	0
4	0
9	0
7	0
3	0
14	0
15	0
8	0
9	0
5	0
89	0
3	0
3	0
8	0
3	0
5	0
5	0
6	0
4	0
6	0
10	0
31	0
4	0
5	0
7	0
29	0
8	0
7	1
15	0
7	0
3	0
5	0
5	0
5	1
4	0
9	0
4	0
5	1
3	0
6	0
9	0
12	0
9	0
14	0
11	0
75	0
8	0
13	0
5	0
16	0
4	0
6	0
11	0
5	0
7	0
7	0
4	0
8	0
647	0
6	0
87	0
10	0
7	0
12	0
117	0
5	0
34	0
35	0
6	0
4	0
8	1
9	0
17	0
25	0
228	0
70	0
44	0
4	1
113	0
15	0
1707	1
9	0
5	0
56	0
5	0
312	0
7	0
262	0
135	0
28	0
11	0
3	0
11	0
20	0
119	1
37	0
19	0
3	0
64	0
5	0
26	0
6	1
22	0
6	0
32	1
53	0
79	0
142	1
89	0
14	0
43	1
15	0
380	0
7	0
20	1
20	0
7	1
11	1
122	0
14	0
5	0
25	0
7	0
68	0
3	0
10	0
8	0
21	0
7	0
14	0
62	0
7	0
8	0
134	1
6	0
12	0
9	0
12	0
14	0
65	0
6	0
8	0
5	0
124	1
19	0
21	0
52	0
111	0
7	0
2	123
9	123
13	0
661	1
7767	6
252	0
106	0
107	1
578	0
24	1203
93	1203
379	0
1381	1
131	1
65	484
18	484
24	149
9	149
411	0
18	298
129	298
5	298
71	297
5	308
6	298
8	307
18	2
4	354
12	560
0	766
5	180
21	458
13	693
89	703
244	0
14	451
12	451
1529	3
92	0
65	0
24	642
1	380
2	709
22	709
19	366
6	367
11	367
5	368
14	368
42	367
2	162
15	177
28	17
15	267
83	267
0	371
7	289
39	273
678	0
4	35
121	167
18	1029
50	1092
45	1025
53	1159
20	0
6	0
17	0
5	1
141	50
3	50
36	0
31	2
93	0
832	1
317	0
47	1
196	0
39	0
42	0
2	323
1	318
24	319
8	326
5	326
69	0
8	0
190	0
124	0
0	210
5	202
11	199
7	19
923	20
212	0
312	3
15	2
10	612
17	612
657	3
3	0
851	0
122	3
218	1
232	290
52	290
1194	2
42	0
290	0
13	56
94	56
40	17
20	17
32	0
573	0
430	1
19	493
0	530
7	485
357	900
33	900
1188	0
290	0
633	1
0	650
0	664
7	649
5	71
0	656
0	642
2	532
4	312
86	143
20	127
0	236
5	1
1431	0
0	1289
4	2
3	1260
87	320
2	948
76	255
5	279
5	300
0	365
0	344
0	688
0	675
9	685
124	0
1	16
35	16
1646	0
315	1
4	1
1342	0
18	240
53	240
17	148
14	148
63	0
70	0
81	1168
29	1168
0	555
0	558
0	559
0	554
0	558
0	557
54	5
124	7
143	0
46	397
0	397
1	150
12	126
1	168
44	7
178	0
163	0
652	1
146	0
429	1
177	0
24	1
114	0
81	0
6	0
35	227
22	227
5	1363
16	1371
0	1394
33	1
3	143
62	145
14	138
2575	4
1101	0
476	0
540	1
51	2
415	2
111	36
3	36
15	396
49	1218
14	1218
4	5
5	1218
74	398
38	2
122	0
14	0
120	0
5	16
48	16
126	0
18	323
4	66
34	257
19	274
38	274
3	220
0	564
0	406
0	799
26	764
4	573
11	706
0	302
14	59
76	83
28	257
35	195
28	263
26	42
0	32
22	43
0	44
5	0
2	0
79	62
25	62
33	1
76	0
3	0
49	1
5	0
2	123
69	123
18	0
26	1
41	1
3	1
123	0
12	0
9	0
13	0
121	1
12	0
12	0
39	1
32	1
4	0
107	0
7	0
15	0
6	0
6	0
81	1
6	0
300	0
3	0
84	0
9	0
6	0
17	0
26	0
42	1
1	23
38	23
23	0
9	0
9	1
3	1
7	0
14	0
24	0
134	0
67	0
4	0
7	0
5	0
29	0
175	0
26	481
3	481
310	0
5	0
11	1
20	1
4	0
5	1
5	0
65	0
18	1
16	1
62	0
21	0
31	0
9	0
6	0
3	0
414	1
18	0
19	0
10	0
4	0
80	0
156	0
139	0
6	1
7	0
5	1
130	0
3	0
5	0
8	0
223	1
10	1
109	0
4	0
10	0
10	0
7	188
4	188
4	0
34	0
13	0
42	0
52	0
324	0
47	1
28	0
73	1
4	0
12	0
6	0
5	0
9	0
14	1
6	0
16	0
3	1
3	0
3	0
4	0
5	0
5	0
3	0
5	0
8	0
6	0
4	0
4	0
5	0
5	0
4	0
4	0
4	0
3	0
